source_entity,target_entity,relationship_type,relationship_description,source_entity_id,target_entity_id
butt ##ler,powell,Colleague-Relation,Butt ##ler and Powell are colleagues,1cc13331-15ec-4c4e-a871-ef48acf6f3c8,66e19993-b123-4f72-9944-d91a8576d4a0
15 needed from 18 balls,"13 dec 202 ##3 01. 55 gm ##t 16th over : west indies 141 - 6 ( powell 26, russell 4 )",Happened-at,The event of 15 needed from 18 balls happened during the 16th over,e4deec9b-a971-4404-97f0-2234d2a24744,ae8c3449-e549-4f83-92c3-fd6884036bcf
livingstone,"13 dec 202 ##3 01. 55 gm ##t 16th over : west indies 141 - 6 ( powell 26, russell 4 )",Part-of,The 16th over is part of the innings,d9c4f3c2-d376-4738-82c9-23523fdc0f5d,ae8c3449-e549-4f83-92c3-fd6884036bcf
ro ##v ##man powell,"13 dec 202 ##3 01. 55 gm ##t 16th over : west indies 141 - 6 ( powell 26, russell 4 )",Part-of,The 16th over is part of the innings,106bb788-4901-4a9f-918b-faff4f11428d,ae8c3449-e549-4f83-92c3-fd6884036bcf
england,"13 dec 202 ##3 01. 55 gm ##t 16th over : west indies 141 - 6 ( powell 26, russell 4 )",Part-of,The 16th over is part of the innings,f9cea19c-2306-42b9-9c85-33b63d642d4c,ae8c3449-e549-4f83-92c3-fd6884036bcf
0,13 dec 2023 01.45 gm t wicket,Located-in,13 dec 2023 01.45 gm t wicket is located in West Indies,4a16e1ea-659f-495e-b7d3-3037754d0a55,89da7a84-002a-4fe9-89e9-5a4ca6ada8fb
Sha,13 dec 2023 01.45 gm t wicket,Happened-at,Shai Hope happened at 13 dec 2023 01.45 gm t wicket,5ee17e6c-df4f-4f9c-b090-07659b89d3b5,89da7a84-002a-4fe9-89e9-5a4ca6ada8fb
Liam Livingstone,13 dec 2023 01.45 gm t wicket,Happened-at,Liam Livingstone happened at 13 dec 2023 01.45 gm t wicket,e7afbcdc-b2e2-4496-8047-c722f9f8150b,89da7a84-002a-4fe9-89e9-5a4ca6ada8fb
Rashid,13 dec 2023 01.45 gm t wicket,Happened-at,Imran Tahir happened at 13 dec 2023 01.45 gm t wicket,37c9fd75-dff1-441f-a671-76653751c1cf,89da7a84-002a-4fe9-89e9-5a4ca6ada8fb
Rehan,13 dec 2023 01.45 gm t wicket,Happened-at,Rehan Ahmed happened at 13 dec 2023 01.45 gm t wicket,1241b434-8bd0-4253-ba99-1cc1eb5710b8,89da7a84-002a-4fe9-89e9-5a4ca6ada8fb
Hope,13 dec 2023 01.45 gm t wicket,Happened-at,Nicholas Pooran happened at 13 dec 2023 01.45 gm t wicket,3076a5fc-5546-4a6a-bcc9-3d29c2348a20,89da7a84-002a-4fe9-89e9-5a4ca6ada8fb
Powell,13 dec 2023 01.45 gm t wicket,Happened-at,Shai Hope happened at 13 dec 2023 01.45 gm t wicket,71c4411a-33f8-4ca3-a942-02f8f8b56969,89da7a84-002a-4fe9-89e9-5a4ca6ada8fb
Sha,Hope,Colleague-Relation,Shai Hope and Nicholas Pooran are colleagues,5ee17e6c-df4f-4f9c-b090-07659b89d3b5,3076a5fc-5546-4a6a-bcc9-3d29c2348a20
Liam Livingstone,Hope,Colleague-Relation,Liam Livingstone and Nicholas Pooran are colleagues,e7afbcdc-b2e2-4496-8047-c722f9f8150b,3076a5fc-5546-4a6a-bcc9-3d29c2348a20
Rashid,Hope,Colleague-Relation,Imran Tahir and Nicholas Pooran are colleagues,37c9fd75-dff1-441f-a671-76653751c1cf,3076a5fc-5546-4a6a-bcc9-3d29c2348a20
Rehan,Hope,Colleague-Relation,Rehan Ahmed and Nicholas Pooran are colleagues,1241b434-8bd0-4253-ba99-1cc1eb5710b8,3076a5fc-5546-4a6a-bcc9-3d29c2348a20
Sha,Liam Livingstone,Friendship,Shai Hope and Liam Livingstone are friends,5ee17e6c-df4f-4f9c-b090-07659b89d3b5,e7afbcdc-b2e2-4496-8047-c722f9f8150b
Liam Livingstone,Sha,Friendship,Liam Livingstone and Shai Hope are friends,e7afbcdc-b2e2-4496-8047-c722f9f8150b,5ee17e6c-df4f-4f9c-b090-07659b89d3b5
Rashid,Liam Livingstone,Friendship,Imran Tahir and Liam Livingstone are friends,37c9fd75-dff1-441f-a671-76653751c1cf,e7afbcdc-b2e2-4496-8047-c722f9f8150b
Rehan,Liam Livingstone,Friendship,Rehan Ahmed and Liam Livingstone are friends,1241b434-8bd0-4253-ba99-1cc1eb5710b8,e7afbcdc-b2e2-4496-8047-c722f9f8150b
Sha,Rehan,Mentor-Protege,Shai Hope and Rehan Ahmed are mentor and protege,5ee17e6c-df4f-4f9c-b090-07659b89d3b5,1241b434-8bd0-4253-ba99-1cc1eb5710b8
Liam Livingstone,Rehan,Mentor-Protege,Liam Livingstone and Rehan Ahmed are mentor and protege,e7afbcdc-b2e2-4496-8047-c722f9f8150b,1241b434-8bd0-4253-ba99-1cc1eb5710b8
Dec 2023,t,Part-of,Dec 2023 is a part of t,98e212d6-133b-4e7f-bce0-e1cead01d0b7,efab8cff-4b03-4ade-80fd-8c2868b3ce80
London,Dec 2023,Located-in,London is located in Dec 2023,1937a4a7-a4ca-48d1-bb2e-96ce51555e0a,98e212d6-133b-4e7f-bce0-e1cead01d0b7
Dec 2023,London,Part-of,Dec 2023 is a part of London,98e212d6-133b-4e7f-bce0-e1cead01d0b7,1937a4a7-a4ca-48d1-bb2e-96ce51555e0a
West Indies,Dec 2023,Part-of,West Indies is a part of Dec 2023,8cbb0df0-4c8f-40ce-ac21-55008eb93a15,98e212d6-133b-4e7f-bce0-e1cead01d0b7
Dec 2023,West Indies,Part-of,Dec 2023 is a part of West Indies,98e212d6-133b-4e7f-bce0-e1cead01d0b7,8cbb0df0-4c8f-40ce-ac21-55008eb93a15
Hope,Dec 2023,Part-of,Hope is a part of Dec 2023,f5310598-d33d-4366-bcf8-dbc4acd86c56,98e212d6-133b-4e7f-bce0-e1cead01d0b7
Dec 2023,Hope,Part-of,Dec 2023 is a part of Hope,98e212d6-133b-4e7f-bce0-e1cead01d0b7,f5310598-d33d-4366-bcf8-dbc4acd86c56
Hope,Shai Hope,Colleague-Relation,Hope and Shai Hope are colleagues,f5310598-d33d-4366-bcf8-dbc4acd86c56,e3d93dfb-88c4-4c37-83cc-95e45e2bf406
Hope,Barbados,Part-of,Hope is a part of Barbados,f5310598-d33d-4366-bcf8-dbc4acd86c56,f81e0704-ff7e-409b-b61a-6a1910b6c2b5
Dec 2023,Barbados,Part-of,Dec 2023 is a part of Barbados,98e212d6-133b-4e7f-bce0-e1cead01d0b7,f81e0704-ff7e-409b-b61a-6a1910b6c2b5
Hope,Shaun Marsh,Colleague-Relation,Hope and Shaun Marsh are colleagues,f5310598-d33d-4366-bcf8-dbc4acd86c56,14eb0b09-0995-4f1c-a4f7-f2b776826b37
Hope,Ken,Uses,Hope uses Ken,f5310598-d33d-4366-bcf8-dbc4acd86c56,46fdebc4-7a8a-42e4-99dd-c72d1d458318
Dec 2023,Ken,Part-of,Dec 2023 is a part of Ken,98e212d6-133b-4e7f-bce0-e1cead01d0b7,46fdebc4-7a8a-42e4-99dd-c72d1d458318
Dec 2023,Hetmyer,Part-of,Dec 2023 is a part of Hetmyer,98e212d6-133b-4e7f-bce0-e1cead01d0b7,e364a2ae-587e-4e1b-881d-d8145052b968
Dec 2023,Lewis,Part-of,Dec 2023 is a part of Lewis,98e212d6-133b-4e7f-bce0-e1cead01d0b7,25bb2368-e4ef-455f-ba85-a6f2d3569f74
Dec 2023,Powell,Part-of,Dec 2023 is a part of Powell,98e212d6-133b-4e7f-bce0-e1cead01d0b7,ff596f48-6c7f-4ec1-85b8-affd5a1ad18d
Dec 2023,Duckworth–Lewis Stern,Part-of,Dec 2023 is a part of Duckworth–Lewis Stern,98e212d6-133b-4e7f-bce0-e1cead01d0b7,3154914c-0771-4966-bd95-617068902d62
wicket,Location,Located-in,The wicket is located at the ground,d3c7f95a-2d15-494e-a8f8-ad4bdc203fb7,
ahmed,Person,Part-of,Ahmed is a part of the west indies team,624655e0-3463-4659-8801-5988a7a53834,
hope,Person,Part-of,Hope is a part of the west indies team,00ec540b-5e17-4128-a6f9-99c6695287a0,
poor ##an,Person,Part-of,Poor ##an is a part of the west indies team,2e6c7e07-60bb-493d-983a-0b546276be8c,
rashid,Person,Part-of,Rashid is a part of the west indies team,ebbe4945-4092-442f-ba1e-4af68e1fafcb,
rashid,Person,Part-of,Rashid is a part of the west indies team,bf2359e2-98ff-4653-8d78-4c8227bb4acc,
re ##han,Person,Part-of,Re ##han is a part of the west indies team,00662c91-e598-4d03-9ffa-023ef5f3cb70,
ty ##mal mills,Person,Part-of,Ty ##mal mills is a part of the west indies team,42347227-0d34-4638-ab2c-026346a0dbb1,
kyle mayer ##s,Person,Part-of,Kyle mayer ##s is a part of the west indies team,930ae033-4e90-43c9-8d84-bac90739881b,
brook,Person,Part-of,Brook is a part of the west indies team,82449557-173a-4005-b55a-60d5eeb47036,
rashid,Person,Part-of,Rashid is a part of the west indies team,ebbe4945-4092-442f-ba1e-4af68e1fafcb,
rashid,Person,Part-of,Rashid is a part of the west indies team,bf2359e2-98ff-4653-8d78-4c8227bb4acc,
b rashid,Person,Part-of,B rashid is a part of the west indies team,b417ad9f-59dc-49fe-93c7-2d899f852d0e,
west indies,Organization,Located-in,The west indies team is located at the ground,443896a9-c0d8-4bce-a7f3-5063f600576a,
the sorcerer,rashid,Part-of,The sorcerer is part of rashid,a2546cd4-b4dc-4647-aa12-9c7badcabff1,dd00eb8b-eca3-494b-9fd9-666726b1660d
rashid,england,Part-of,Rashid is part of england,dd00eb8b-eca3-494b-9fd9-666726b1660d,c74a3aa2-ba43-4c6a-8d65-94c1841a62a7
rashid,west indies,Part-of,Rashid is part of west indies,dd00eb8b-eca3-494b-9fd9-666726b1660d,1e65535a-06bf-4eda-b472-5fd202623023
nicholas poor ##an,england,Part-of,Nicholas poor ##an is part of england,07a52613-bab0-4cdb-82dc-efa2a3ffa622,c74a3aa2-ba43-4c6a-8d65-94c1841a62a7
kyle mayer ##s,mayer ##s,Colleague-Relation,Kyle mayer ##s and mayer ##s are colleagues,daa3c8f8-4f18-4028-b409-2842b52924c1,9507103e-9a83-4fc2-a712-4ee80de39715
sha ##i hope,bo ##sh,Colleague-Relation,Sha ##i hope and bo ##sh are colleagues,e84c3b73-39ee-421b-a6df-45eec6e7b908,41ac0150-f1cc-4f49-aab7-3a9984a6bd37
re ##han,sha ##i hope,Colleague-Relation,Re ##han and sha ##i hope are colleagues,1bc1aab1-c70f-4981-afe4-88c5de7cc6dc,e84c3b73-39ee-421b-a6df-45eec6e7b908
mayer ##s,bo ##sh,Colleague-Relation,Mayer ##s and bo ##sh are colleagues,9507103e-9a83-4fc2-a712-4ee80de39715,41ac0150-f1cc-4f49-aab7-3a9984a6bd37
2023,2023,Historical-Relation,2023 is related to 2023,3eae7de2-ab0e-4104-b8c5-69a865618461,3eae7de2-ab0e-4104-b8c5-69a865618461
Ben Duckett,Chris Woakes,Colleague-Relation,Ben Duckett and Chris Woakes are colleagues.,e8121ca0-0348-47a3-8d12-7fe6fb04e55d,45a956ea-2429-42bd-b502-ee04f010c800
Ben Duckett,Kyle Mayers,Colleague-Relation,Ben Duckett and Kyle Mayers are colleagues.,e8121ca0-0348-47a3-8d12-7fe6fb04e55d,de958270-c9a7-4f70-a622-38280c36b83c
Ben Duckett,Stuart Broad,Colleague-Relation,Ben Duckett and Stuart Broad are colleagues.,e8121ca0-0348-47a3-8d12-7fe6fb04e55d,03757d9c-76e7-4038-a2f7-0c3caf88e0ba
Chris Woakes,Kyle Mayers,Colleague-Relation,Chris Woakes and Kyle Mayers are colleagues.,45a956ea-2429-42bd-b502-ee04f010c800,de958270-c9a7-4f70-a622-38280c36b83c
Kyle Mayers,Stuart Broad,Colleague-Relation,Kyle Mayers and Stuart Broad are colleagues.,de958270-c9a7-4f70-a622-38280c36b83c,03757d9c-76e7-4038-a2f7-0c3caf88e0ba
West Indies,2023,Part-of,2023 is a part of the West Indies cricket team.,c4df13bc-cf74-4975-9469-1f048b902abd,87f5e8bb-6b19-4505-90b4-b291226fb274
king,mayer ##s,Friendship,King and mayer ##s are friends,6ab07de1-93ef-4484-bf25-0e5c759c51ee,eefbca28-73de-4f0f-8c72-9d4de1fdc13a
andre russell,england,Affiliated-with,Andre russell is affiliated with england,c9540317-5632-4159-893e-dc528ab98093,7fcb1f2e-90bd-4f82-b2e8-01ab24810dc3
rashid b joseph,england,Affiliated-with,Rashid b joseph is affiliated with england,50e79369-b2b9-4967-85db-ec9a6dec6cf5,7fcb1f2e-90bd-4f82-b2e8-01ab24810dc3
ahmed c powell,england,Affiliated-with,Ahmed c powell is affiliated with england,17478791-494e-48fe-b2ce-3363690c47a9,7fcb1f2e-90bd-4f82-b2e8-01ab24810dc3
re ##han ahmed,england,Affiliated-with,Re ##han ahmed is affiliated with england,22e901a4-3335-4948-ab3f-bfafc45e56fc,7fcb1f2e-90bd-4f82-b2e8-01ab24810dc3
sam curran,england,Affiliated-with,Sam curran is affiliated with england,00341f04-81e0-4134-bca6-267ff1418b16,7fcb1f2e-90bd-4f82-b2e8-01ab24810dc3
wo ##akes,england,Affiliated-with,Wo ##akes is affiliated with england,69e31e20-6adb-46d1-9932-484bfb1c1d12,7fcb1f2e-90bd-4f82-b2e8-01ab24810dc3
livingstone,england,Affiliated-with,Livingstone is affiliated with england,1308fb27-8e9a-473a-ab14-9a39c7813806,7fcb1f2e-90bd-4f82-b2e8-01ab24810dc3
england,west indies,Part-of,England is a part of west indies,7fcb1f2e-90bd-4f82-b2e8-01ab24810dc3,3f068484-27f0-41b7-a43c-f55a17a9917f
england,france,Located-in,England is located in france,7fcb1f2e-90bd-4f82-b2e8-01ab24810dc3,75864566-7fe9-4d8f-ade3-d40663f7c7a8
england,paris,Located-in,England is located in paris,7fcb1f2e-90bd-4f82-b2e8-01ab24810dc3,51d3fe93-9920-4c75-97d6-f0e21ebc5e33
microsoft,apple,Part-of,Microsoft is a part of apple,dc294468-693e-41b0-a458-0188900a913e,a1f7aa26-664f-4ec1-89d5-c3d6dbceb6ab
6 ##d ago 23. 36 gm ##t,23. 16 gm ##t,Part-of,6 ##d ago 23. 36 gm ##t is part of 23. 16 gm ##t,a5b7e9d0-590a-43a1-955a-e2d59e0b1f38,2b77959d-7c8a-4ab7-9318-47da9ac3cf2e
23. 16 gm ##t,23. 19 gm ##t,Part-of,23. 16 gm ##t is part of 23. 19 gm ##t,2b77959d-7c8a-4ab7-9318-47da9ac3cf2e,4f8ceacc-981a-4362-b10e-e3617af83419
23. 19 gm ##t,23. 20 gm ##t,Part-of,23. 19 gm ##t is part of 23. 20 gm ##t,4f8ceacc-981a-4362-b10e-e3617af83419,a9886744-a76b-4003-b8ba-351e9c27f119
23. 17 gm ##t,23. 14 gm ##t,Part-of,23. 17 gm ##t is part of 23. 14 gm ##t,6c1f2380-e1ab-49cf-a653-0f897c309f96,467fbdd6-1058-4727-ab05-621e7ba8620a
6 ##d ago 23. 16 gm ##t,england ’ s miserable white - ball year ends with another series defeat.,Part-of,6 ##d ago 23. 16 gm ##t is part of england ’ s miserable white - ball year ends with another series defeat.,a1a62c3d-2c71-4bc4-8f0a-c796cef92860,a7908e2a-a27e-4c41-9229-3c16cbe471b6
"plenty of good has come from this series, though, most notably the performance of phil salt.",england ’ s miserable white - ball year ends with another series defeat.,Part-of,"plenty of good has come from this series, though, most notably the performance of phil salt. is part of england ’ s miserable white - ball year ends with another series defeat.",a34061e1-c4a0-41de-9b36-75a5cfe8a5db,a7908e2a-a27e-4c41-9229-3c16cbe471b6
Hope,West Indies,Part-of,Hope is a member of the West Indies cricket team,d472bb86-30ae-4a51-9710-1cb9f2a646de,08445ed9-03aa-4516-b920-fe9b5cb690e5
Holder,West Indies,Part-of,Holder is a member of the West Indies cricket team,285fa513-4b0a-4c05-99c8-862f821684e2,08445ed9-03aa-4516-b920-fe9b5cb690e5
Hope,Holder,Colleague-Relation,Hope and Holder are colleagues on the West Indies cricket team,d472bb86-30ae-4a51-9710-1cb9f2a646de,285fa513-4b0a-4c05-99c8-862f821684e2
West Indies,Sha##i Hope,Part-of,Sha##i Hope is a member of the West Indies cricket team,08445ed9-03aa-4516-b920-fe9b5cb690e5,4449678d-89cb-49aa-b7c7-359737ca1d4f
West Indies,Jason Holder,Part-of,Jason Holder is a member of the West Indies cricket team,08445ed9-03aa-4516-b920-fe9b5cb690e5,6c3ab444-d213-4e67-a824-632b6c247446
Holder,Sha##i Hope,Colleague-Relation,Holder and Sha##i Hope are colleagues on the West Indies cricket team,285fa513-4b0a-4c05-99c8-862f821684e2,4449678d-89cb-49aa-b7c7-359737ca1d4f
Holder,Jason Holder,Colleague-Relation,Holder and Jason Holder are colleagues on the West Indies cricket team,285fa513-4b0a-4c05-99c8-862f821684e2,6c3ab444-d213-4e67-a824-632b6c247446
Ma##zal ##an,Cricket on TNT Sports,Worked-for,Ma##zal ##an worked for Cricket on TNT Sports,,ddc2f207-d46f-45a4-b5d6-9befe535d577
Ahmed,Cricket on TNT Sports,Worked-for,Ahmed worked for Cricket on TNT Sports,,ddc2f207-d46f-45a4-b5d6-9befe535d577
Wo ##akes,Cricket on TNT Sports,Worked-for,Wo ##akes worked for Cricket on TNT Sports,,ddc2f207-d46f-45a4-b5d6-9befe535d577
Rashid,Cricket on TNT Sports,Worked-for,Rashid worked for Cricket on TNT Sports,b73083dc-a800-4a44-8a96-9056c8e39ef2,ddc2f207-d46f-45a4-b5d6-9befe535d577
Livingstone,Curran,Played-against,Livingstone played against Curran,,b5a745fb-5f71-43be-b076-9472b39c0c9e
Curran,Livingstone,Played-against,Curran played against Livingstone,b5a745fb-5f71-43be-b076-9472b39c0c9e,
Hope,Buttler,Mentor-Protege,Hope is a mentor of Buttler.,,
Hope,Rashid,Mentor-Protege,Hope is a mentor of Rashid.,,
Buttler,Carr,Colleague-Relation,Buttler and Carr are colleagues.,,
low catch,Event,Part-of,low catch to his left is part of Photograph: randy brooks / AFP / Getty Images,80673502-4e71-40ca-bb0b-e35a098a389a,
west indies,Location,Located-in, Photograph: randy brooks / AFP / Getty Images is located in west indies,36b55a76-33c9-4f6b-8567-69ed5b941523,
reece top ##ley,Person,Celebrates, reece top ##ley ( right ) celebrates the dismissal of ro ##v ##man powell. Photograph: randy brooks / AFP / Getty Images,8b8d0b0f-e70f-4ed8-81df-be8227fc07f2,
ro ##v ##man powell,Person,Dismissed, Photograph: randy brooks / AFP / Getty Images dismissed ro ##v ##man powell,25dd2f59-0a17-42cd-8bd8-4361fd985ffe,
hope,Person,Opens-the-face," who is playing an exemplary innings, opens the face to steer re ##han for his first boundary.",5e76ba0b-b297-4c6e-a135-2ceec6b388f3,
rashid,Person,Has-a-great-series, he ’ s had a great series : eight wickets at 15 with an absurd economy rate of 6. 26. but he ’ s going to end on the losing side.,589a3c08-2647-44a1-893d-a91ffac29e07,
rutherford,Person,Smash ##es," rutherford smash ##es a drive towards short extra, where curran dive ##s to his left to take a superb catch.",e47a2aec-3459-4edb-a837-94813e4a7f63,
butt ##ler,Person,Brings-back," butt ##ler brings back rashid for his final over, knowing it ’ s now or never for england, and gets an immediate reward.",68361d96-d0c5-4769-b0ce-d7be5089e298,
curran,Person,Dive ##s, curran dive ##s to his left to take a superb catch.,f412317a-0582-475a-bb02-7abb808eae8c,
Hope,West Indies,Part-of,Hope is a member of the West Indies cricket team.,6bff4d86-ea27-4c42-9783-4936cfff0187,fbcf4805-632a-451f-a950-9c3bc8954740
Rutherford,West Indies,Part-of,Rutherford is a member of the West Indies cricket team.,9a328d84-62a3-42a3-b65c-c4423424562f,fbcf4805-632a-451f-a950-9c3bc8954740
England,22,Located-in,22 is located in England.,7262f5b0-39b6-4feb-9bfe-6b701d8f92f3,
West Indies,13th over,Happened-at,The 13th over happened at the West Indies.,fbcf4805-632a-451f-a950-9c3bc8954740,
Rutherford,12th over,Happened-at,The 12th over happened at Rutherford.,9a328d84-62a3-42a3-b65c-c4423424562f,
Hope,11th over,Happened-at,The 11th over happened at Hope.,6bff4d86-ea27-4c42-9783-4936cfff0187,
Rashid,11th over,Part-of,Rashid is a member of the England cricket team.,104322a3-df29-4549-a538-e947887d7925,
Moen Ali,11th over,Part-of,Moen Ali is a member of the England cricket team.,93a72a6d-ef44-47e3-b6fb-1e3affe1a889,
UltraEdge,11th over,Used,UltraEdge was used during the 11th over.,bcee5cee-ce92-46dd-9038-3dadd6f9d50d,
run - chase,Hope,Part-of,The event of a cricket match where players try to score runs by hitting the ball and running between the wickets is part of the match where Hope is a West Indies cricketer,d7be0998-dc63-46ea-9b1e-fa4a173d8b00,72d0cf7c-843b-422e-87e9-c442ab4f6296
run - chase,Rutherford,Part-of,The event of a cricket match where players try to score runs by hitting the ball and running between the wickets is part of the match where Rutherford is a West Indies cricketer,d7be0998-dc63-46ea-9b1e-fa4a173d8b00,cc73d5fa-a283-47df-8d4f-ebe67a714459
run - chase,West Indies,Part-of,The event of a cricket match where players try to score runs by hitting the ball and running between the wickets is part of the match where West Indies is the country that the West Indies cricket team represents,d7be0998-dc63-46ea-9b1e-fa4a173d8b00,3c77e85a-65ad-4b2e-bb1d-ef2abd415c08
run - chase,England,Part-of,The event of a cricket match where players try to score runs by hitting the ball and running between the wickets is part of the match where England is the country that the England cricket team represents,d7be0998-dc63-46ea-9b1e-fa4a173d8b00,249f7fa3-f681-410d-b430-34b2f8f16319
9th over,Moeen Ali,Part-of,The 9th over is part of the over in which Moeen Ali is an England cricketer,,773f0203-5695-4fa0-a7d7-658ed652973f
9th over,Adil Rashid,Part-of,The 9th over is part of the over in which Adil Rashid is an England cricketer,,0b29dfda-a92a-41db-b116-1ada1b7d3f71
9th over,Charles Buttler,Part-of,The 9th over is part of the over in which Charles Buttler is a West Indies cricketer,,8b26d123-1a10-4b12-a2a5-06bdda06a956
9th over,Rashid,Part-of,The 9th over is part of the over in which Rashid is an England cricketer,,2a683d35-e282-4cd7-9a58-37bf1ff95e88
9th over,Jo Buttler,Part-of,The 9th over is part of the over in which Jo Buttler is a West Indies cricketer,,77658322-a095-426d-85d3-f6dfc0724c40
extra cover,randy brooks,Part-of,randy brooks took the photograph for extra cover,1a9a8657-00b9-4619-9029-7c84d768bf67,bc51a6e9-58dc-42bd-9a1c-f4cda5dcca9c
adi ##l rashid,johnson charles,Colleague-Relation,adi ##l rashid and johnson charles are colleagues,8df6919f-8fc6-4b95-acab-86bc71cde726,a0d5f589-3538-4b01-94fa-84cb8fd738c5
randy brooks,af ##p,Part-of,af ##p is a part of randy brooks,bc51a6e9-58dc-42bd-9a1c-f4cda5dcca9c,7142d131-f6a6-4161-b6a7-37a239287b28
get ##ty images,af ##p,Part-of,af ##p is a part of get ##ty images,a3ff6359-204b-43a1-8a09-896ed3996aa5,7142d131-f6a6-4161-b6a7-37a239287b28
johnson charles,west indies,Affiliated-with,johnson charles is affiliated with west indies,a0d5f589-3538-4b01-94fa-84cb8fd738c5,992712d1-c333-4281-8a78-89aa17e95929
