entity_name,entity_type,description,entity_id
dallas mavericks,nba_team,"The Dallas Mavericks is a professional basketball team based in Dallas, Texas.",639ea4b7-2ac7-4d2d-b728-342e7268cbc8
philadelphia 76 ##ers,nba_team,"The Philadelphia 76 ##ers is a professional basketball team based in Philadelphia, Pennsylvania.",21f66727-1210-4270-baaf-78687dec47d6
minnesota timber ##wo ##lves,nba_team,"The Minnesota Timber ##wo ##lves is a professional basketball team based in Minneapolis, Minnesota.",1743de73-feb7-44a9-b4ca-6b2bddb316d1
portland trail blazers,nba_team,"The Portland Trail Blazers is a professional basketball team based in Portland, Oregon.",bf859a44-27a8-45a2-a68c-1a8707410e34
cleveland cavaliers,nba_team,"The Cleveland Cavaliers is a professional basketball team based in Cleveland, Ohio.",ebddee5a-98a4-477e-ad96-712b1ade1388
los angeles clip ##pers,nba_team,"The Los Angeles Clip ##pers is a professional basketball team based in Los Angeles, California.",7aa8ec56-05a2-4080-a44b-92ad163d7a71
sacramento kings,nba_team,"The Sacramento Kings is a professional basketball team based in Sacramento, California.",3c0550e0-3a4a-49b8-a2a7-4fc7578f9f0c
nba,sports_league,The National Basketball Association (NBA) is a professional basketball league in North America.,6d21fb05-7cea-4762-9d92-314831aaeb68
ky ##rie irving,nba_player,Ky ##rie Irving is a professional basketball player.,da793090-e1eb-4ac1-ab99-ea458260c0a3
blake griffin,nba_player,Blake Griffin is a professional basketball player.,53046778-4c9f-4f2f-a947-e4601fe5b090
ty ##ke evans,nba_player,Tyre ##ke Evans is a professional basketball player.,16758a2e-d806-4f47-a9fd-874ceac65e7c
sacramento kings,nba_team,"The Sacramento Kings is a professional basketball team based in Sacramento, California.",f79bc41a-9cce-464a-87ec-52a8adb38e50
nba,sports_league,The National Basketball Association (NBA) is a professional basketball league in North America.,2a6905e4-5bc6-4515-a0ea-f6cfeb8e1bd9
nba rookie of the year,award,The NBA Rookie of the Year Award is presented to the top first-year NBA player.,571d6360-2582-4fdb-845e-51d68bf1c72e
paolo ban ##cher ##o,nba_player,Paolo Ban ##cher ##o is a professional basketball player.,729c5890-ff8d-485c-91b4-b46cc15988f4
scott ##ie barnes,nba_player,Scott ##ie Barnes is a professional basketball player.,59925ba2-edf4-4a58-a375-1776b971f622
lame ##lo ball,nba_player,Lame ##lo Ball is a professional basketball player.,5b3b9109-8922-4b0d-b917-8ca4fa5d1a3a
ja moran ##t,nba_player,Ja Morant is a professional basketball player.,a4e377bd-621d-45ec-b7a3-e1f57b4a593d
ben simmons,nba_player,Ben Simmons is a professional basketball player.,b88f6429-82b8-4fe7-913f-7db2e0c57c5d
malcolm bro ##g ##don,nba_player,Malcolm Bro ##g ##don is a professional basketball player.,352b885d-03fa-461a-96ce-ec549d632a64
karl - anthony towns,nba_player,Karl - Anthony Towns is a professional basketball player.,d536bb83-297b-4bb5-8c19-7a9879fa4775
andrew wig ##gins,nba_player,Andrew Wig ##gins is a professional basketball player.,255f9987-d734-4f06-9241-928045b4aeff
tyre ##ke evans,nba_player,Tyre ##ke Evans is a professional basketball player.,9675e8c1-f5e9-4ad4-be9f-8c3163a0081c
13 dec 202 ##3 02. 36 gm ##t,Time,The time at which the event occurred,2d336e9c-a6f5-40eb-977e-e604d6984d62
james wallace,Person,The person who presented the news,765b973a-b189-496b-a69e-211d760904e6
england,Location,The country where the cricket game took place,0507e266-ab70-46bc-87d4-71f940e3a7e4
west indies,Location,The team that played against England,b58b60de-c773-429b-a3a2-6f37fdcf7cf7
grenada,Location,The location where the second cricket match will take place,edf2ae9a-7d0a-47db-91ee-39ac1eefeca3
andre russell,Person,The cricketer who played an important role in the game,2de556cd-c237-4b5b-b398-660c68583397
rov ##man powell,Person,The cricketer who played an important role in the game,c58bec23-3610-41a9-b1f0-9c9bd4226c6b
life,Concept,The state of existence of a person or thing,a0e66ba5-f84e-45da-9398-c529d7f737ef
West Indies,Location,A group of islands in the Caribbean Sea,eb42f1aa-3ca7-4df2-babb-e3a9870fbf01
Andre Russell,Person,A cricketer from the West Indies,95563c02-f73a-4a6f-b2d8-d872511ed090
Sam Curran,Person,A cricketer from England,a962750e-4c3d-40dc-a604-20c2dfeee2db
Adi ##l Rashid,Person,A cricketer from England,d5a8dba1-ae3e-4962-8d27-7eaf54f21019
ty ##mal mills,Person,A cricketer from the West Indies,89752b94-88ed-43f4-b49e-093245d368a0
powell,Person,A cricketer from the West Indies,96cf8489-8d41-4871-807f-276d7f673590
leg side,Location,The location where the ball was delivered,2e235a19-038f-4345-9b2e-111efda7fbb5
bowler,Person,The person who bowled the ball,cac93a1e-4da0-42c0-8178-d0102c937c86
shot,Event,The event that occurred when the ball was hit,a930c317-5765-4178-9814-58cd8c6de8b5
fence,Location,The location where the ball was hit and went for a boundary,3c329012-2875-4568-b44b-ae20ad124854
swiss clock timing,Concept,A term used to describe the timing of the shot,bd27f5c9-bc01-4482-88fc-a568b7af5385
powell,Person,The person who hit the six,66e19993-b123-4f72-9944-d91a8576d4a0
butt ##ler,Person,The person who was dismissed,1cc13331-15ec-4c4e-a871-ef48acf6f3c8
15 needed from 18 balls,Concept,The number of runs needed from the remaining balls,e4deec9b-a971-4404-97f0-2234d2a24744
"13 dec 202 ##3 01. 55 gm ##t 16th over : west indies 141 - 6 ( powell 26, russell 4 )",Event,The event that took place during the 16th over of the innings,ae8c3449-e549-4f83-92c3-fd6884036bcf
livingstone,Person,The person who continued batting,d9c4f3c2-d376-4738-82c9-23523fdc0f5d
ro ##v ##man powell,Person,The person who hit the six,106bb788-4901-4a9f-918b-faff4f11428d
england,Location,The team that is batting,f9cea19c-2306-42b9-9c85-33b63d642d4c
west indies,Location,The team that is bowling,847a3466-3184-4d74-b71d-99472b009e76
andre russell,Person,The person who faced the hat ##trick ball,63c16a26-52f2-4d49-833d-82cb057860ac
ahmed,Person,The person who bowled the hat ##trick ball,12406601-2056-4df0-91c2-44a2291f18ae
barbados,Location,The location where the cricket match is taking place,1714c0f6-1fa1-4cb8-8659-3556a1e3b48b
advantage england?,Concept,A term used to describe whether England has an advantage,dc737ea1-ab53-433c-ae97-20d950d96696
47 needed from 30 balls,Concept,The number of runs needed from the remaining balls,f896c3e0-5ba8-49c8-8ac4-232bf43a4b6e
shepherd c curran,Person,The person who took the wicket,ea2d09d3-15a3-4152-a9fa-c7fe2f05f99a
0,Location,West Indies,4a16e1ea-659f-495e-b7d3-3037754d0a55
13 dec 2023 01.45 gm t wicket,Location,Barbados,89da7a84-002a-4fe9-89e9-5a4ca6ada8fb
Sha,Person,Shai Hope,5ee17e6c-df4f-4f9c-b090-07659b89d3b5
Liam Livingstone,Person,Liam Livingstone,e7afbcdc-b2e2-4496-8047-c722f9f8150b
Rashid,Person,Imran Tahir,37c9fd75-dff1-441f-a671-76653751c1cf
Rehan,Person,Rehan Ahmed,1241b434-8bd0-4253-ba99-1cc1eb5710b8
Hope,Person,Nicholas Pooran,3076a5fc-5546-4a6a-bcc9-3d29c2348a20
Powell,Person,Shai Hope,71c4411a-33f8-4ca3-a942-02f8f8b56969
t,Time,Local time,efab8cff-4b03-4ade-80fd-8c2868b3ce80
Dec 2023,Time,Month and year,98e212d6-133b-4e7f-bce0-e1cead01d0b7
London,Location,City,1937a4a7-a4ca-48d1-bb2e-96ce51555e0a
West Indies,Location,Tournament team,8cbb0df0-4c8f-40ce-ac21-55008eb93a15
Hope,Person,Cricketer,f5310598-d33d-4366-bcf8-dbc4acd86c56
Shai Hope,Person,Cricketer,e3d93dfb-88c4-4c37-83cc-95e45e2bf406
Barbados,Location,Country,f81e0704-ff7e-409b-b61a-6a1910b6c2b5
Shaun Marsh,Person,Cricketer,14eb0b09-0995-4f1c-a4f7-f2b776826b37
Ken,Product,Beer,46fdebc4-7a8a-42e4-99dd-c72d1d458318
Hetmyer,Person,Cricketer,e364a2ae-587e-4e1b-881d-d8145052b968
Lewis,Person,Cricketer,25bb2368-e4ef-455f-ba85-a6f2d3569f74
Powell,Person,Cricketer,ff596f48-6c7f-4ec1-85b8-affd5a1ad18d
Duckworth–Lewis Stern,Concept,Method of calculating target score in Twenty20 cricket,3154914c-0771-4966-bd95-617068902d62
Person,ro ##v ##man powell,ies skipper,d3a5c420-3a31-48a9-925f-d8e0af9e98f5
Person,adi ##l rashid,takes his 100th t ##20 ##i wicket,a2d5ed38-e852-4c11-bdd8-2c494720b7ae
Person,het ##my ##er c duck ##ett,is sent on his way,b88568a7-96f0-4fe3-b13a-b46a03822eec
Person,re ##han ahmed,got him,5d60a60f-8299-482b-9417-826d8abbea9e
Person,shi ##m ##ron het ##yme ##r,tuck ##s a single into the leg side,c11af197-577d-4440-b340-a2d9f2978687
Person,John Doe,,e8d9eab4-4044-4b24-b434-0a23817f4ec0
Person,Steve Jobs,,2897ba23-3d8e-4676-862d-d2dd14ec72f2
Organization,west indies,,b6d14ea1-255a-483e-be7c-131c2a5b4825
Location,england,,487ade3b-654f-40be-96e0-141db9f7f70a
Location,france,,6f02775d-1514-41b2-abcb-d58967445381
Location,paris,,999ac504-3fe3-4a9d-aa7e-17f3d0e654f9
Location,california,,815f6ec8-d7d8-4e20-8909-a39cf1320a80
Location,boston,,a11ff2f5-599e-4b98-bcd2-28ade809bc29
Location,india,,db013aec-f303-442e-86d0-e3ce690cf917
Location,mumbai,,f124e4e9-2ca2-40a5-804e-7f2d9d5dcfcc
Location,london,,ad51385d-e2b5-469a-88c0-defb5b899382
Location,new york,,929b27a2-e504-48d8-abc7-613480ff7aed
Location,miami,,ff44c005-0d58-4ed3-8157-15ca7aa5aac0
Location,australia,,a976e57d-36fd-4e3d-811b-7238a198fb38
Location,sydney,,7ccacb76-00b7-4f74-b2e5-6af269b1ac2a
Location,melbourne,,340c4bf8-72ad-449e-bd39-e76bae4660fd
Location,canberra,,013c5114-f8b3-46e7-8126-e474a7a3bd7c
Location,perth,,45caefd9-ab96-453c-bf2a-11fec2253a14
Location,adelaide,,4dfa5e9e-3b8c-4964-b5c6-963dd209afbc
Location,brisbane,,8f1c7b1a-ad61-4d83-841a-8b240630d1bb
Location,organization,,815a989a-0eb3-478c-976b-e764187efa12
Location,microsoft,,8bb1ee21-a1b0-4751-981c-4337fe56b66b
Location,apple,,b3e2a541-333f-47de-82d5-6d551a03c93c
Event,battle of hastings,,32bee630-087b-469b-a2dd-aa4a0cfaf042
Event,creation of england,,bb4e687e-9b79-44ec-b1bf-aa2458948625
Event,reformation of england,,12599073-d607-43bd-8fb4-54460849f475
Event,glorious revolution,,efe6dc63-f9c6-4f25-b698-6dcd5f6a194f
Event,english civil war,,df782520-0563-4957-acb6-ef98bc554bcd
Event,first opium war,,b483c1ce-a329-445a-9858-7b2505f739b9
Event,second opium war,,cb7b6567-4aa2-4626-a449-155b74ee250d
Event,sino-japanese war,,2a3cea92-a1c2-4c98-8fd8-8842b7a34ef4
Event,indian independence movement,,979ad6db-db38-48b1-ba28-22961dcb1414
Event,partition of india,,143ef614-2ae2-4826-a036-c1995ced7cef
Event,fall of the berlin wall,,d140361f-6697-4999-af5b-b6b610bda7ee
Event,european union,,adbbb7a0-38ce-4b79-91d7-99f4109ac952
Event,start of world war i,,976a8d72-c455-49ed-9faf-8a54721a7f65
Event,start of world war ii,,ed2d27dc-ba79-4810-a7b7-d565f1fbe931
Event,end of world war ii,,78dfc7f5-ff83-49da-82e6-d965c1b24113
Event,vietnam war,,7612d14e-9b0a-4b4a-b7cd-5ce9d8d23d03
wicket,Location,The place where the wicket is located,d3c7f95a-2d15-494e-a8f8-ad4bdc203fb7
ahmed,Person,The batsman who was given a confidence boost by wicket,624655e0-3463-4659-8801-5988a7a53834
hope,Person,The batsman who scored 25 runs,00ec540b-5e17-4128-a6f9-99c6695287a0
poor ##an,Person,The batsman who scored 13 runs,2e6c7e07-60bb-493d-983a-0b546276be8c
rashid,Person,The bowler who bowled the first over,ebbe4945-4092-442f-ba1e-4af68e1fafcb
re ##han,Person,The bowler who replaced ty ##mal mills,00662c91-e598-4d03-9ffa-023ef5f3cb70
ty ##mal mills,Person,The bowler who bowled the 9th over,42347227-0d34-4638-ab2c-026346a0dbb1
kyle mayer ##s,Person,The batsman who scored a wicket,930ae033-4e90-43c9-8d84-bac90739881b
brook,Person,The batsman who was bowled by kyle mayer ##s,82449557-173a-4005-b55a-60d5eeb47036
rashid,Person,The bowler who bowled the 10th over,bf2359e2-98ff-4653-8d78-4c8227bb4acc
b rashid,Person,The batsman who was bowled by rashid,b417ad9f-59dc-49fe-93c7-2d899f852d0e
west indies,Organization,The team that is playing,443896a9-c0d8-4bce-a7f3-5063f600576a
35 ( west indies 79 - 3 ),Time,The time at which the event occurred,f589c149-6565-483a-86bb-d0a0e5d9e35f
the sorcerer,Person,The person who followed his apprentice,a2546cd4-b4dc-4647-aa12-9c7badcabff1
rashid,Person,The person who bagged a wicket,dd00eb8b-eca3-494b-9fd9-666726b1660d
england,Location,The location where the event occurred,c74a3aa2-ba43-4c6a-8d65-94c1841a62a7
west indies,Location,The location where the event occurred,1e65535a-06bf-4eda-b472-5fd202623023
nicholas poor ##an,Person,The person who is the new man,07a52613-bab0-4cdb-82dc-efa2a3ffa622
kyle mayer ##s,Person,The person who loft ##s a supreme drive down the ground for six more,daa3c8f8-4f18-4028-b409-2842b52924c1
sha ##i hope,Person,The person who sm ##ears a length ball over mid on for the third six of the over,e84c3b73-39ee-421b-a6df-45eec6e7b908
re ##han,Person,The person who comes back well,1bc1aab1-c70f-4981-afe4-88c5de7cc6dc
mayer ##s,Person,The person who holds the pose as he loft ##s a supreme drive down the ground for six more,9507103e-9a83-4fc2-a712-4ee80de39715
bo ##sh,Person,The person who gets in on the act and sm ##ears a length ball over mid on for the third six of the over,41ac0150-f1cc-4f49-aab7-3a9984a6bd37
2023,Time,The year in which the event occurred,3eae7de2-ab0e-4104-b8c5-69a865618461
13 dec 2023 00,Time,"December 13, 2023 at 00:00",c080a95a-1ab5-4cf8-8372-d738d2e31374
"20 gm t 5th over : west indies 56 - 1 ( mayer ##s 20, hope 12 )",Event,"5th over of the 20-over game between West Indies and England, with West Indies on 56-1 (Mayer 20, Hope 12)",b4b58f6d-ef33-4311-b295-fa0185ab18cf
"20 gm t 4th over : west indies 47 - 1 ( mayer ##s 18, hope 5 )",Event,"4th over of the 20-over game between West Indies and England, with West Indies on 47-1 (Mayer 18, Hope 5)",59a206a1-5cb0-44ac-a162-85438cf72268
"gm t 5th over : west indies 56 - 1 ( mayer ##s 20, hope 12 )",Location,"The playing ground for the 5th over of the 20-over game between West Indies and England, with West Indies on 56-1 (Mayer 20, Hope 12)",55865ac2-4ace-4a82-b300-e8fd7fd0ec58
"gm t 4th over : west indies 47 - 1 ( mayer ##s 18, hope 5 )",Location,"The playing ground for the 4th over of the 20-over game between West Indies and England, with West Indies on 47-1 (Mayer 18, Hope 5)",64dbad8e-2521-48da-aae3-77d369fb32ca
"gm t 4th over : west indies 47 - 1 ( mayer ##s 18, hope 5 )",Event,"4th over of the 20-over game between West Indies and England, with West Indies on 47-1 (Mayer 18, Hope 5)",d36ce7ba-9cf6-4ed6-9784-cda6c6eba81b
"gm t 5th over : west indies 56 - 1 ( mayer ##s 20, hope 12 )",Event,"5th over of the 20-over game between West Indies and England, with West Indies on 56-1 (Mayer 20, Hope 12)",c9c4f3a7-77d3-48b7-b0b3-884290e302e5
"gm t 4th over : west indies 47 - 1 ( mayer ##s 18, hope 5 )",Event,"4th over of the 20-over game between West Indies and England, with West Indies on 47-1 (Mayer 18, Hope 5)",27a64a9f-09e4-4ea1-a082-47017dd0d6e4
"gm t 5th over : west indies 56 - 1 ( mayer ##s 20, hope 12 )",Event,"5th over of the 20-over game between West Indies and England, with West Indies on 56-1 (Mayer 20, Hope 12)",77d5d747-d257-401b-be88-7f0675fb0c11
"gm t 4th over : west indies 47 - 1 ( mayer ##s 18, hope 5 )",Event,"4th over of the 20-over game between West Indies and England, with West Indies on 47-1 (Mayer 18, Hope 5)",92d1134a-2154-459c-9732-af119ebe975c
"gm t 4th over : west indies 47 - 1 ( mayer ##s 18, hope 5 )",Event,"4th over of the 20-over game between West Indies and England, with West Indies on 47-1 (Mayer 18, Hope 5)",94587d97-86b7-459d-9ebd-927a7d762bad
"gm t 5th over : west indies 56 - 1 ( mayer ##s 20, hope 12 )",Event,"5th over of the 20-over game between West Indies and England, with West Indies on 56-1 (Mayer 20, Hope 12)",9f24ff8a-871c-49c7-bf19-e597ec8929c1
"gm t 4th over : west indies 47 - 1 ( mayer ##s 18, hope 5 )",Event,"4th over of the 20-over game between West Indies and England, with West Indies on 47-1 (Mayer 18, Hope 5)",eb038ec8-f812-4e3f-8a05-da41dce1a1c0
"gm t 4th over : west indies 47 - 1 ( mayer ##s 18, hope 5 )",Event,"4th over of the 20-over game between West Indies and England, with West Indies on 47-1 (Mayer 18, Hope 5)",0ab754c3-bb3c-4da6-b135-a52fdfc9a6ec
"gm t 5th over : west indies 56 - 1 ( mayer ##s 20, hope 12 )",Event,"5th over of the 20-over game between West Indies and England, with West Indies on 56-1 (Mayer 20, Hope 12)",ed51cb9b-d2b7-4483-b227-3b4cd9d087f4
Ben Duckett,Person,A cricketer,e8121ca0-0348-47a3-8d12-7fe6fb04e55d
Chris Woakes,Person,A cricketer,45a956ea-2429-42bd-b502-ee04f010c800
Kyle Mayers,Person,A cricketer,de958270-c9a7-4f70-a622-38280c36b83c
Stuart Broad,Person,A cricketer,03757d9c-76e7-4038-a2f7-0c3caf88e0ba
West Indies,Location,A cricket team,c4df13bc-cf74-4975-9469-1f048b902abd
2023,Time,A year,87f5e8bb-6b19-4505-90b4-b291226fb274
king,Person,King is a person,6ab07de1-93ef-4484-bf25-0e5c759c51ee
mayer ##s,Person,Mayer ##s is a person,eefbca28-73de-4f0f-8c72-9d4de1fdc13a
andre russell,Person,Andre russell is a person,c9540317-5632-4159-893e-dc528ab98093
rashid b joseph,Person,Rashid b joseph is a person,50e79369-b2b9-4967-85db-ec9a6dec6cf5
ahmed c powell,Person,Ahmed c powell is a person,17478791-494e-48fe-b2ce-3363690c47a9
re ##han ahmed,Person,Re ##han ahmed is a person,22e901a4-3335-4948-ab3f-bfafc45e56fc
sam curran,Person,Sam curran is a person,00341f04-81e0-4134-bca6-267ff1418b16
wo ##akes,Person,Wo ##akes is a person,69e31e20-6adb-46d1-9932-484bfb1c1d12
livingstone,Person,Livingstone is a person,1308fb27-8e9a-473a-ab14-9a39c7813806
england,Location,England is a location,7fcb1f2e-90bd-4f82-b2e8-01ab24810dc3
west indies,Location,West indies is a location,3f068484-27f0-41b7-a43c-f55a17a9917f
france,Location,France is a location,75864566-7fe9-4d8f-ade3-d40663f7c7a8
paris,Location,Paris is a location,51d3fe93-9920-4c75-97d6-f0e21ebc5e33
microsoft,Organization,Microsoft is an organization,dc294468-693e-41b0-a458-0188900a913e
apple,Organization,Apple is an organization,a1f7aa26-664f-4ec1-89d5-c3d6dbceb6ab
6 ##d ago 23. 36 gm ##t,Time,6 ##d ago 23. 36 gm ##t,a5b7e9d0-590a-43a1-955a-e2d59e0b1f38
23. 16 gm ##t,Time,23. 16 gm ##t,2b77959d-7c8a-4ab7-9318-47da9ac3cf2e
23. 19 gm ##t,Time,23. 19 gm ##t,4f8ceacc-981a-4362-b10e-e3617af83419
23. 20 gm ##t,Time,23. 20 gm ##t,a9886744-a76b-4003-b8ba-351e9c27f119
23. 17 gm ##t,Time,23. 17 gm ##t,6c1f2380-e1ab-49cf-a653-0f897c309f96
23. 14 gm ##t,Time,23. 14 gm ##t,467fbdd6-1058-4727-ab05-621e7ba8620a
6 ##d ago 23. 16 gm ##t,Time,6 ##d ago 23. 16 gm ##t,a1a62c3d-2c71-4bc4-8f0a-c796cef92860
england ’ s miserable white - ball year ends with another series defeat.,Event,england ’ s miserable white - ball year ends with another series defeat.,a7908e2a-a27e-4c41-9229-3c16cbe471b6
"plenty of good has come from this series, though, most notably the performance of phil salt.",Event,"plenty of good has come from this series, though, most notably the performance of phil salt.",a34061e1-c4a0-41de-9b36-75a5cfe8a5db
"it ended with a six, the 120 ##th of the series.",Event,"it ended with a six, the 120 ##th of the series.",0233afc9-14aa-474a-9ad9-6617873087cb
"england fought ad ##mir ##ably to defend a below - par total ; but for hope, they would probably have done it.",Event,"england fought ad ##mir ##ably to defend a below - par total ; but for hope, they would probably have done it.",4fefc1ed-a64e-4974-b597-a574e02754a7
west indies win the series 3 - 2!,Event,west indies win the series 3 - 2!,ecb6e316-36a3-4dc3-8c7a-4f5e1a3805af
19. 2,Concept,19. 2,144b7013-248c-483b-9e5f-9d72ca536f5e
john salt,Person,john salt,2d36581b-c9b1-408f-a90e-ce0bb0246f7d
phil salt,Person,phil salt,ec4173f3-d496-4421-b61b-a3f9bb0d6c82
england,Location,england,37cfe8be-1a1d-4d00-976b-08fdd234ee2a
west indies,Location,west indies,a25af21d-7ccc-4f69-9bec-c5e76b5026a6
Hope,Person,West Indies cricketer,d472bb86-30ae-4a51-9710-1cb9f2a646de
Holder,Person,West Indies cricketer,285fa513-4b0a-4c05-99c8-862f821684e2
West Indies,Location,A cricket team representing the Caribbean,08445ed9-03aa-4516-b920-fe9b5cb690e5
Sha##i Hope,Person,West Indies cricketer,4449678d-89cb-49aa-b7c7-359737ca1d4f
Jason Holder,Person,West Indies cricketer,6c3ab444-d213-4e67-a824-632b6c247446
Ricardo Ma##zal ##an,Person,Cricket photographer,dc35b616-d021-4e11-a3d9-4b6c28e242ae
Cricket on TNT Sports,Organization,A sports network,ddc2f207-d46f-45a4-b5d6-9befe535d577
Re##han Ahmed,Person,Cricket player,0b2f327a-c509-4852-8c8d-6fcfd41aeb08
Chris Wo ##akes,Person,Cricket bowler,a791a00f-33e2-497f-84f1-95d00d8b7663
Rashid,Person,Cricket bowler,b73083dc-a800-4a44-8a96-9056c8e39ef2
Russell C Livingstone,Person,Cricket player,5e4e7f6a-e941-48c3-bb77-f95152572205
Curran,Person,Cricket bowler,b5a745fb-5f71-43be-b076-9472b39c0c9e
Person,Hope,Hope is a West Indian cricketer.,b2007571-1c20-4579-9e2d-2ce854ebdb36
Person,Rashid,Rashid is a West Indian cricketer.,e9e29c49-999a-40d6-b1eb-dcf5cb1c909d
Person,Buttler,Buttler is an English cricketer.,04d69eaf-ec9a-47ee-a290-c135216bd0d1
Person,Carr,Carr is an English cricketer.,15d817c4-18ec-4e01-8331-3a0d6877f0ba
Location,England,England is a country.,32197d6a-530f-4747-8400-8ce3b7819274
Location,West Indies,West Indies is a country.,bf203f9e-b905-4303-bc1c-3e8f411ee82b
low catch,Event,low catch to his left,80673502-4e71-40ca-bb0b-e35a098a389a
west indies,Location, Photograph: randy brooks / AFP / Getty Images,36b55a76-33c9-4f6b-8567-69ed5b941523
reece top ##ley,Person, reece top ##ley ( right ) celebrates the dismissal of ro ##v ##man powell. Photograph: randy brooks / AFP / Getty Images,8b8d0b0f-e70f-4ed8-81df-be8227fc07f2
ro ##v ##man powell,Person, Photograph: randy brooks / AFP / Getty Images,25dd2f59-0a17-42cd-8bd8-4361fd985ffe
hope,Person," who is playing an exemplary innings, opens the face to steer re ##han for his first boundary.",5e76ba0b-b297-4c6e-a135-2ceec6b388f3
rashid,Person, he ’ s had a great series : eight wickets at 15 with an absurd economy rate of 6. 26. but he ’ s going to end on the losing side.,589a3c08-2647-44a1-893d-a91ffac29e07
rutherford,Person," rutherford smash ##es a drive towards short extra, where curran dive ##s to his left to take a superb catch.",e47a2aec-3459-4edb-a837-94813e4a7f63
butt ##ler,Person," butt ##ler brings back rashid for his final over, knowing it ’ s now or never for england, and gets an immediate reward.",68361d96-d0c5-4769-b0ce-d7be5089e298
curran,Person, curran dive ##s to his left to take a superb catch.,f412317a-0582-475a-bb02-7abb808eae8c
Hope,Person,West Indies cricketer,6bff4d86-ea27-4c42-9783-4936cfff0187
Rutherford,Person,West Indies cricketer,9a328d84-62a3-42a3-b65c-c4423424562f
England,Location,England,7262f5b0-39b6-4feb-9bfe-6b701d8f92f3
West Indies,Location,West Indies,fbcf4805-632a-451f-a950-9c3bc8954740
Rashid,Person,England cricketer,104322a3-df29-4549-a538-e947887d7925
Moen Ali,Person,England cricketer,93a72a6d-ef44-47e3-b6fb-1e3affe1a889
UltraEdge,Concept,A cricket technology,bcee5cee-ce92-46dd-9038-3dadd6f9d50d
run - chase,Event,The event of a cricket match where players try to score runs by hitting the ball and running between the wickets,d7be0998-dc63-46ea-9b1e-fa4a173d8b00
Hope,Person,A West Indies cricketer,72d0cf7c-843b-422e-87e9-c442ab4f6296
Rutherford,Person,A West Indies cricketer,cc73d5fa-a283-47df-8d4f-ebe67a714459
West Indies,Location,The country that the West Indies cricket team represents,3c77e85a-65ad-4b2e-bb1d-ef2abd415c08
England,Location,The country that the England cricket team represents,249f7fa3-f681-410d-b430-34b2f8f16319
Moeen Ali,Person,An England cricketer,773f0203-5695-4fa0-a7d7-658ed652973f
Adil Rashid,Person,An England cricketer,0b29dfda-a92a-41db-b116-1ada1b7d3f71
Charles Buttler,Person,A West Indies cricketer,8b26d123-1a10-4b12-a2a5-06bdda06a956
Rashid,Person,An England cricketer,2a683d35-e282-4cd7-9a58-37bf1ff95e88
Jo Buttler,Person,A West Indies cricketer,77658322-a095-426d-85d3-f6dfc0724c40
